5.00,174.65,185.45,-24.08,-891.32,-39.41,-326.19,-161.55,-251.64,-293.40,54.00,37.61,183.80,-18.12,362.17,342.19,211.75,139.90,473.46,53.87,-251.19,30.77,-58.74,-103.45,-66.44,-148.37,-302.76,-240.82,144.78,-192.14,-42.24,247.02,30.05,183.20,-49.06,-396.13,-70.07,-192.72,-110.97,-41.34,-170.16,-66.20,-1.61,82.36,103.80,131.20,73.21,-10.18,41.40,-10.74,-50.62,-68.91,190.08,131.54,-81.44,-17.90,-30.39,12.39,63.04,-30.32,-129.51,80.31,-32.74,-32.20,12.39,-167.68,-60.04,0.59,-207.67,15.13,25.42,63.09,-103.16,-0.42,-32.06,-131.36,-25.98,81.92,-110.18,161.60,-0.43,-153.15,-162.28,135.00,72.22,50.69,-80.58,-41.47,84.12,-21.30,-129.79,91.24,-89.16,86.11,-30.68,-26.47,-1.23,-34.09,13.74,-41.65,-64.91
0.00,1371.34,-439.51,-43.85,-165.94,-777.37,-70.87,81.03,-482.64,-229.07,-89.01,-320.52,226.80,-47.01,-38.59,26.97,198.61,-63.86,-130.75,364.92,-154.87,47.18,134.24,-124.04,-26.34,15.55,79.72,-122.68,-363.68,-146.67,-58.85,-21.84,-335.77,284.59,27.29,-33.51,-34.92,-48.83,138.04,264.21,235.64,-177.14,-149.95,128.34,-38.75,-143.02,8.16,-148.04,-226.28,131.60,-54.87,65.70,7.58,-55.66,-6.53,234.11,-66.56,130.02,115.71,79.50,-34.13,-26.68,22.24,37.25,132.21,23.80,-106.04,-128.65,68.10,58.77,37.16,19.04,88.55,-34.02,-15.69,60.08,-106.73,-282.48,1.83,-57.55,-4.09,-16.24,18.85,-44.59,42.30,-85.86,70.69,-9.47,-14.34,16.78,-27.98,58.60,-94.83,36.61,51.37,36.78,-68.50,38.86,11.58,-32.39,8.83
9.00,-210.21,828.32,-489.35,-79.45,292.45,53.42,-33.59,-383.33,-203.73,421.58,-269.37,304.38,-202.17,-45.55,127.21,-157.39,75.88,-39.04,-161.60,-68.90,345.94,13.24,184.43,103.43,220.53,68.80,-91.94,-13.35,143.99,348.63,41.61,-0.65,-38.94,287.04,89.93,61.42,91.16,22.73,-37.11,-225.30,-1.84,-11.39,-19.96,-4.61,223.58,-16.40,-16.45,-122.89,-116.76,72.67,102.67,-24.39,-62.22,46.54,-43.30,104.90,-182.52,-46.72,-110.42,-201.09,10.99,23.10,-26.86,53.36,15.90,-36.31,130.38,68.03,-37.44,-3.38,127.87,90.58,-22.35,29.25,-5.91,76.81,9.42,41.82,40.74,2.48,148.84,-1.61,52.20,-30.94,-15.78,93.68,-4.50,-67.99,12.65,14.25,40.81,42.34,-33.69,-25.92,24.01,94.78,111.08,-73.71,64.73,4.33
1.00,-350.61,-620.90,-361.78,182.22,-365.94,-44.05,359.93,100.10,-382.60,-18.46,-34.46,225.30,-167.04,28.69,84.03,174.97,29.81,2.14,122.45,-149.09,351.67,154.78,148.94,127.08,178.31,82.86,54.44,102.68,-8.27,6.12,151.82,164.70,-0.43,18.06,-118.55,135.23,165.83,-133.63,197.15,61.56,-51.20,-108.47,-106.30,-162.19,-246.61,42.93,7.23,66.95,56.17,216.37,120.74,-91.54,128.03,-20.44,-49.52,89.04,193.69,40.61,67.23,16.85,-341.39,52.20,46.04,-24.01,19.68,165.20,106.15,-28.72,-25.06,26.65,-13.72,-114.82,-84.69,-79.25,34.06,154.01,-97.52,-7.44,21.38,-51.41,-40.33,221.98,114.86,-49.74,56.54,27.94,58.75,-74.51,-50.70,15.33,140.62,53.13,7.24,-85.16,-124.01,48.95,76.74,-123.72,-52.13,3.22
5.00,-82.34,290.72,-119.29,-741.80,49.12,-128.64,-515.62,-568.96,-45.21,392.22,144.55,-31.27,-33.18,-109.24,97.33,253.37,168.40,648.61,347.95,-36.76,151.29,-33.80,219.62,-60.18,-108.11,-37.46,-55.87,-120.35,43.24,-170.56,-5.22,-57.46,11.95,-187.86,122.78,-95.19,-7.03,-302.55,53.48,-50.99,-3.75,1.41,-141.64,63.21,-59.76,-17.00,-79.47,105.44,126.98,350.09,-138.18,54.27,133.15,-107.14,-57.90,18.17,-166.74,44.99,98.19,-0.97,106.34,92.49,55.22,-57.76,85.20,86.69,-60.42,15.01,127.58,-47.96,-35.32,26.84,6.58,69.74,97.94,-201.76,39.43,-72.07,81.31,71.79,73.00,54.22,-146.09,23.56,-24.48,90.58,20.62,64.31,98.05,87.16,-10.77,-98.70,-81.46,-32.23,120.17,-106.17,54.07,88.58,70.81,-16.60
9.00,-637.93,563.57,43.77,-641.07,229.82,-482.78,221.74,-3.68,280.29,-113.44,-105.71,278.16,-95.46,-193.21,283.11,-141.84,73.98,-22.17,111.58,24.63,70.54,39.31,-174.98,-262.66,-32.63,-70.39,306.63,-78.60,-169.09,-1.40,-48.78,-140.43,-80.50,-167.95,0.83,232.93,-106.79,-148.81,78.03,78.43,-0.47,-158.64,-15.06,27.72,-14.94,85.48,-96.86,-47.76,25.72,-132.17,-74.98,42.23,8.68,-88.82,-37.30,38.23,61.89,-30.98,107.53,54.57,-39.09,104.03,143.50,-88.84,47.79,32.94,-50.08,-73.63,51.97,-101.08,-37.66,68.74,-63.76,21.95,-64.53,25.08,-55.56,26.68,41.18,-1.03,0.43,-30.57,-54.25,-17.15,-69.23,-39.95,-93.16,-13.82,-13.89,12.49,-38.20,14.58,44.86,13.21,-17.52,-45.42,-16.13,34.09,17.60,-25.18
2.00,809.07,-355.79,154.18,609.40,19.27,709.22,382.63,701.25,-607.13,30.98,457.64,-221.02,285.56,103.62,10.56,336.02,110.54,190.00,-261.11,264.68,-181.24,-116.39,472.60,31.86,93.12,-58.04,89.61,118.18,-443.78,-101.96,13.69,140.25,255.63,-191.71,-87.77,-15.79,125.45,-39.91,-65.65,134.05,22.50,24.07,-122.94,83.99,-64.48,-120.99,117.71,-40.05,-152.50,24.97,261.99,167.30,190.88,41.79,221.88,157.60,194.93,-97.11,-40.30,9.34,-94.47,-145.19,46.12,-40.41,-54.18,-143.43,-137.76,100.70,6.53,110.20,214.39,-90.37,198.41,-92.08,5.05,64.93,-147.71,-128.50,72.19,-20.80,-129.52,-25.77,-160.88,-145.31,86.78,13.26,29.33,104.45,23.49,-5.37,-33.33,62.21,39.08,48.79,78.81,-53.90,86.98,-220.33,-26.76,48.95
7.00,37.13,1106.78,-375.31,-473.64,10.47,146.96,821.74,689.02,-45.36,187.49,95.59,72.55,556.61,-105.15,-206.33,-91.97,-127.35,-181.12,141.36,213.00,-22.92,82.93,154.62,-147.85,127.86,324.63,284.36,-87.43,-54.92,-142.93,98.30,-79.59,173.28,-114.32,55.37,-39.92,145.50,169.46,-95.65,45.79,55.57,125.67,-5.70,-24.75,48.10,-97.03,-15.13,43.86,88.94,20.31,86.03,-118.17,-153.59,86.14,-11.53,29.85,168.70,93.41,-49.13,13.21,6.74,94.02,-170.82,-5.03,-29.19,29.13,29.13,31.01,24.49,-55.36,26.37,-0.60,141.00,38.35,32.05,-24.92,-28.64,-34.41,-73.18,99.48,-63.86,104.67,-23.43,79.22,-18.50,10.97,12.36,-15.28,76.93,-104.75,-27.16,-27.74,-3.08,-36.99,59.01,48.85,-12.36,14.41,-15.02,-53.75
2.00,295.24,-70.27,600.93,138.53,547.98,359.58,11.89,96.53,-313.82,-150.16,126.76,275.05,-727.51,109.38,266.12,-391.11,30.46,-35.40,-148.62,-245.10,-188.58,164.38,50.51,-194.85,545.32,117.94,-308.83,-242.16,176.81,194.44,-193.28,-158.20,59.47,-38.29,116.39,-245.04,110.88,108.29,-209.80,-158.20,62.18,106.08,97.22,23.55,-104.00,-122.77,62.00,-5.60,-21.61,-138.27,16.74,-8.08,232.18,6.78,-281.05,57.58,261.18,-6.68,106.83,15.76,130.69,39.87,122.51,-14.84,134.85,16.41,50.40,57.18,-136.91,38.81,-52.42,18.11,2.88,71.56,151.77,-45.03,-86.87,26.53,-0.72,156.97,-89.32,176.04,32.65,-158.59,65.49,-8.78,-48.32,57.98,162.40,4.36,-86.98,20.24,55.60,19.67,-140.44,17.04,91.33,139.45,76.75,1.96
3.00,-350.38,-280.65,-955.93,-358.11,217.70,406.72,-3.72,63.02,-19.04,254.74,293.09,-94.49,-231.76,-132.88,11.27,79.41,-433.64,366.58,96.12,-311.56,-145.05,-374.15,-56.03,162.47,-110.36,62.66,-9.19,197.93,-258.03,-131.09,-145.59,-178.97,-199.02,-8.28,142.03,184.16,-143.79,116.16,-232.81,-85.79,-62.46,76.25,-55.87,-35.79,-124.58,92.15,-103.91,154.43,200.77,168.09,-276.64,237.90,62.36,-163.53,-152.25,-16.10,-118.69,139.41,-186.94,-113.81,52.84,23.79,-99.68,-9.33,-29.28,5.20,129.11,67.34,-106.21,-75.85,-39.30,166.22,21.86,-210.02,-16.08,-31.90,22.54,-3.26,-77.49,35.38,36.96,51.40,0.78,17.46,-19.83,-43.19,-40.69,49.67,-14.43,-100.98,102.89,-54.76,15.93,-35.84,47.83,25.21,78.89,-46.46,50.61,24.60
